,Word,valence,arrousal
1,aardvark,6.26,2.41
2,abalone,5.3,2.65
3,abandon,2.84,3.73
4,abandonment,2.63,4.95
5,abbey,5.85,2.2
6,abdomen,5.43,3.68
7,abdominal,4.48,3.5
8,abduct,2.42,5.9
9,abduction,2.05,5.33
10,abide,5.52,3.26
11,abiding,5.57,3.59
12,ability,7,4.85
13,abject,4,3.94
14,ablaze,5.15,6.75
15,able,6.64,3.38
16,abnormal,3.53,4.48
17,abnormality,3.05,5
18,abode,5.28,2.9
19,abolish,3.84,4.18
20,abominable,4.05,5.45
21,abomination,2.5,5.9
22,abort,3.1,5.8
23,abortion,2.58,5.43
24,abracadabra,5.11,5.27
25,abrasive,4.26,6.1
26,abreast,4.62,4.61
27,abrupt,3.28,5.23
28,abscess,2.79,4
29,absence,3.86,4.3
30,absent,4.1,3.72
31,absinthe,3.53,3.7
32,absolute,5.43,3.48
33,absolution,6.58,3.38
34,absolve,4.58,3.53
35,absorb,5.5,4.27
36,abstain,4.4,3.1
37,abstinence,3.43,3.15
38,abstract,5.25,3.96
39,absurd,4.45,4.02
40,absurdity,4.06,4.7
41,abundance,6.67,4.72
42,abundant,7.55,4.21
43,abuse,1.53,6.21
44,abusive,2.05,5.27
45,abysmal,3.45,3.91
46,abyss,3.9,4.85
47,academic,6.61,3.32
48,academy,5.32,3.77
49,accelerant,4.59,4.81
50,accelerate,6.1,6.04
51,accelerated,6.21,4.75
52,acceleration,6.19,6.73
53,accelerator,5.63,5
54,accent,6.48,4.95
55,accept,6.39,2.8
56,acceptable,6.59,3.65
57,acceptance,6.84,4.3
58,access,6.68,5.3
59,accessible,6.68,3.2
60,accessory,5.35,4.22
61,accident,2.55,4.93
62,accidental,3.46,4
63,acclaim,6.1,3.95
64,accommodate,6.35,3
65,accommodation,6.76,4.72
66,accompany,5.47,3.85
67,accomplice,4.6,4.5
68,accomplish,7.45,5.16
69,accomplishment,8.05,4.96
70,accord,6.38,2.85
71,accordion,5.26,2.94
72,account,5.39,3.76
73,accountability,4.89,3.7
74,accountable,5.7,4.2
75,accountant,5.19,3.81
76,accounting,4.42,3.68
77,accumulate,6.33,2.73
78,accuracy,6.32,3.33
79,accurate,7.42,4.35
80,accursed,3.21,5.33
81,accusation,3.38,5.48
82,accuse,2.68,5.32
83,ace,6.37,4.64
84,acetylene,4.11,3.67
85,ache,3.27,4.3
86,achieve,7.75,4.7
87,achievement,7.28,5.57
88,achy,3.15,4.48
89,acid,3.26,4.77
90,acknowledge,6.43,3.26
91,acknowledgement,6.53,3.3
92,acne,2.18,4.47
93,acorn,5.85,4.42
94,acoustic,7.1,4
95,acoustics,6.33,3.19
96,acquaintance,5.58,3.24
97,acquire,5.5,4.86
98,acquisition,5,4.36
99,acquit,5.6,4.56
100,acquittal,6.19,4.95
101,acre,5.53,2.73
102,acreage,5.25,3.74
103,acrobat,6,4.9
104,acrylic,5.52,3.73
105,act,5.64,4.19
106,action,6,6.19
107,action figure,6.18,4.65
108,activate,5.7,3.78
109,activation,6.14,3.52
110,active,6.47,5.62
111,activist,6.24,5.26
112,activity,6.21,4.86
113,actor,6.15,4.35
114,actress,5.42,5.43
115,actual,6.22,2.75
116,actuality,5.4,5.55
117,acupuncture,4.81,4.9
118,acute,5.1,5.09
119,ad,4.11,3.33
120,adage,5.55,3.38
121,adamant,5.45,5.74
122,adapt,5.84,3.9
123,adaptation,5.82,3.55
124,add,6.23,4
125,adder,4.45,3.24
126,addict,2.86,5.33
127,addicted,2.89,4.77
128,addiction,3.52,4.48
129,addictive,3.52,4.82
130,additional,6.15,3.61
131,address,6.11,3.05
132,adept,6.14,4.17
133,adequate,4.7,3.64
134,adhere,5.17,3.52
135,adhesive,5.84,3.2
136,Adidas,5.77,4.18
137,adjacent,5.15,2.78
138,adjective,5.95,3.64
139,adjoining,5.06,3.52
140,adjourn,5.5,3.15
141,adjust,5.76,3
142,adjuster,4.25,3.5
143,adjustment,5.53,4.59
144,admin,4.37,3.64
145,administer,4.4,3.86
146,administration,4.45,3.23
147,administrative,4.79,3.21
148,administrator,5.32,4.74
149,admirable,7,4.57
150,admiral,4.8,4.05
151,admiralty,6.16,4.27
152,admiration,7.58,5.52
153,admire,7.35,5
154,admired,7.25,5.95
155,admirer,7.05,6
156,admissible,5.16,2.9
157,admission,5.91,3.69
158,admit,5.56,3.35
159,admittance,6.29,3.6
160,ado,4.82,3.33
161,adobe,5.25,3.89
162,adolescence,6,5.1
163,adolescent,5.38,4.2
164,adopt,6.9,4.71
165,adoption,6.68,4.82
166,adoptive,5.67,4.4
167,adorable,7.4,4.66
168,adoration,6.47,4.36
169,adore,7.37,5.96
170,adoring,7.38,4.86
171,adrenalin,6.33,5.05
172,adrenaline,6.61,5.95
173,adrift,4.36,3.19
174,adult,5.9,4.36
175,adulterer,2.77,5.68
176,adultery,2.81,6.42
177,adulthood,5.05,4.28
178,advance,6.11,4.62
179,advanced,6.14,3.83
180,advancement,7.47,5.81
181,advantage,6.71,3.95
182,advantageous,6.79,5.7
183,adventure,7.4,6.36
184,adventurer,7,5.27
185,adventurous,7.37,6.67
186,adversary,4.55,4.41
187,adverse,3.68,3.89
188,adversity,4.26,3.82
189,advertise,5.16,4.29
190,advertisement,4.3,4.14
191,advertising,4.68,3.25
192,advice,5.78,3.05
193,advisable,5.62,4.36
194,advise,5.44,3.38
195,advisement,4.55,4.04
196,adviser,5.68,3.36
197,advisor,4.74,3.19
198,advisory,4.95,4.05
199,advocate,5.25,4.59
200,aerial,6.04,3.67
201,aerobics,6,5.1
202,aerodynamic,6.16,4.33
203,aerospace,5.79,4.52
204,aesthetic,5.43,2.88
205,affair,3.1,5.4
206,affect,5.65,3.61
207,affection,7.89,5.64
208,affectionate,7.23,4.77
209,affidavit,4.38,3.73
210,affiliation,5.32,3.9
211,affinity,5.86,4.29
212,affirmation,5.95,3.95
213,affirmative,5.94,3.64
214,affliction,3.76,5.1
215,afford,6.56,4.33
216,affordable,7.52,4.11
217,affront,4.53,4.5
218,afire,6.05,5.41
219,afloat,5.57,4.13
220,aforementioned,5.21,3.5
221,afraid,2.25,5.12
222,african,6.42,4.11
223,afterlife,5.53,4.32
224,aftermath,4.29,5.38
225,afternoon,6.68,3.48
226,aftershave,5.55,3.5
227,age,5.78,3.71
228,agency,5.14,3.17
229,agenda,5.05,3.62
230,agent,5.23,3.43
231,aggravate,2.55,5.9
232,aggravation,2.48,5.35
233,aggression,3.18,5.69
234,aggressive,3.08,5.87
235,aggressiveness,3.58,6.43
236,aggressor,2.8,6.55
237,agile,5.95,4.95
238,agility,6.55,4.21
239,aging,3,3.8
240,agitate,3.36,5.82
241,agitation,2.84,4.75
242,aglow,5.84,4.83
243,agonizing,2.68,6.71
244,agony,2.46,5.78
245,agree,7.17,3.62
246,agreeable,6.9,3.55
247,agreement,6.75,4.05
248,agricultural,5.5,3.55
249,agriculture,6.1,3.05
250,ahoy,5.58,3.95
251,aid,6.29,4.55
252,aide,5.6,4
253,aids,3.52,3.75
254,AIDS,1.33,5
255,ailing,2.95,4.52
256,ailment,3,3.68
257,aim,5.95,4
258,air,6.71,3.25
259,airbag,5.4,3.64
260,airborne,5.25,3.52
261,aircraft,6.3,4.86
262,aircraft carrier,5.25,4.64
263,airfield,5.74,4.38
264,airhead,4.1,4.3
265,airline,5.36,4.12
266,airliner,6.05,4
267,airlock,4.85,4.23
268,airplane,5.25,5.62
269,airport,6,5.5
270,airship,5.63,4.88
271,airspace,5.5,4.4
272,airspeed,4.95,4.33
273,airstrip,4.76,3.83
274,airtight,5.1,3.3
275,airway,4.95,4
276,aisle,5.17,2.5
277,ajar,5,3.26
278,aka,4.63,3.39
279,alabaster,5.5,3.95
280,alarm,3.86,6.85
281,alarm clock,3.47,5.36
282,alarming,3.52,6.5
283,albatross,5.68,3.09
284,albino,4.9,3.09
285,album,6.19,5.63
286,alcohol,4.11,5.17
287,alcoholic,2.49,5.48
288,alcoholism,2,5
289,alcove,5.5,3.32
290,alderman,4.44,3.05
291,ale,5.95,4.1
292,alert,5.38,5.14
